Institution,Professor Name (Original),Author ID,Paper Type,Paper Title,Link
UIUC,A. Jacobi,4332991,10 Most Cited,Falling-film evaporation on horizontal tubes—a critical review,https://www.semanticscholar.org/paper/55b4ecf50d79b5ae7de2544299f6ed98cc0ca5d7
UIUC,A. Jacobi,4332991,10 Most Cited,An experimental study of flow and heat transfer in sinusoidal wavy passages,https://www.semanticscholar.org/paper/857ef94ef70253cebfcb164218c2ff58255db4e3
UIUC,A. Jacobi,4332991,10 Most Cited,Retention forces and contact angles for critical liquid drops on non-horizontal surfaces.,https://www.semanticscholar.org/paper/976d9a24dbdd1a3ae7adc3cb7e658d1e58112bbd
UIUC,A. Jacobi,4332991,10 Most Cited,Ceramics and ceramic matrix composites for heat exchangers in advanced thermal systems—A review,https://www.semanticscholar.org/paper/b3a603708e0c91b6c1718bce562e00dc821484f0
UIUC,A. Jacobi,4332991,10 Most Cited,A Review of Metal Foam and Metal Matrix Composites for Heat Exchangers and Heat Sinks,https://www.semanticscholar.org/paper/f84d89c81e576b0bec248dddf48ea82be323e971
UIUC,A. Jacobi,4332991,10 Most Cited,"The intertube falling film: Part 1 - Flow characteristics, mode transitions, and hysteresis",https://www.semanticscholar.org/paper/fa10122c7ba42e407f01cb1bed39dfde0bb9e47d
UIUC,A. Jacobi,4332991,10 Most Cited,Heat transfer enhancement by winglet-type vortex generator arrays in compact plain-fin-and-tube heat exchangers,https://www.semanticscholar.org/paper/38f0290b2433c8647ded421f5990ebb39a1f4698
UIUC,A. Jacobi,4332991,10 Most Recent,Enhanced internal condensation of R1233zd(E) on micro- and nanostructured copper and aluminum surfaces,https://www.semanticscholar.org/paper/1ea1eed40f7911a50f89b0c06c6d264afc3ada13
UIUC,A. Jacobi,4332991,10 Most Recent,Prediction of the Inter-Tube Flow Mode Transitions in the Evaporators of Multi-Effect Thermal Desalination Plants,https://www.semanticscholar.org/paper/2b7b206a70e8e6129943252031842011a7feced5
UIUC,A. Jacobi,4332991,10 Most Recent,Enhanced refrigerant flow boiling heat transfer in microstructured finned surfaces,https://www.semanticscholar.org/paper/410fc710328a3f1a579717732c4cc50a904acc41
UIUC,A. Jacobi,4332991,10 Most Recent,FLOW AND HEAT TRANSFER IN LOUVERED AND OFFSET-STRIP FIN ARRAYS: THE EFFECTS OF VORTEX SHEDDING AND BOUNDARY-LAYER RE-STARTING,https://www.semanticscholar.org/paper/681fe24a4e4517fbcb8146278af27b785adb971d
UIUC,A. Jacobi,4332991,10 Most Recent,Etching-enabled ultra-scalable micro and nanosculpturing of metal surfaces for enhanced thermal performance,https://www.semanticscholar.org/paper/c6e58d4a5b920e7e9397b6cc3780fc3dd5a44746
UIUC,A. Jacobi,4332991,10 Most Recent,Falling-film heat exchangers used in desalination systems: A review,https://www.semanticscholar.org/paper/7bee781e8be576b8817594c51be7daf287a02f81
UIUC,A. Jacobi,4332991,10 Most Recent,Using Thermodynamic Availability to Predict the Transitional Film Reynolds Number between the Droplet and Jet Modes in Falling Liquid between Horizontal Tubes,https://www.semanticscholar.org/paper/4b7f13c9eb697fd7902ddf3278661b9ce49299c0
UIUC,A. Jacobi,4332991,10 Most Recent,Scalable and Resilient Etched Metallic Micro- and Nanostructured Surfaces for Enhanced Flow Boiling,https://www.semanticscholar.org/paper/8048b5abc823443a4dcd75831d04b390f1e6219e
UIUC,A. Jacobi,4332991,10 Most Recent,NUMERICAL STUDY OF HEAT TRANSFER ENHANCEMENT IN LAMINAR AND TURBULENT FLOWIN ENHANCED TUBES WITH UNIFORM AND NON-UNIFORM THERMAL BOUNDARY CONDITIONS,https://www.semanticscholar.org/paper/4f5d2e5ce4625688a64bce607acfc40e11b38e2b
UIUC,A. Jacobi,4332991,10 Most Recent,Using Thermodynamic Availability to Predict the Transitional Film Reynolds Number between the Jet and Sheet Modes in Falling Liquid between Horizontal Tubes,https://www.semanticscholar.org/paper/f02f7d392af0042679e40ec40c16d1a9fa0e87b9
