,,,,,,,,,Professor,A,B,C,D,E,MAXCOUNT,PrimaryFactory,Second MAX,Second Factory
Steven Gard,9,2,2,3,4,,20,,Oluwaseyi Balogun,7,5,4,4,,7,A,5,B
"Tao Sun, T. Sun",8,2,,10,,,20,,Sandip Ghosal,2,15,1,2,,15,B,2,A
Thomas Golecki,6,4,,,10,,20,,Sridhar Krishnaswamy,6,7,6,1,,7,B,6,A
Todd D Murphey,,16,,,4,,20,,Nazanin Farjam,6,4,8,,,8,C,6,A
Tonghun Lee,9,3,5,1,2,,20,,M. Quinn Brewster,10,3,7,,,10,A,7,C
Wei Chen,4,1,,11,4,,20,,Kathryn H Matlack,9,5,6,,,9,A,6,C
William P. King,12,1,5,,2,,20,,Nikhil Chandra Admal,12,5,3,,,12,A,5,B
Wing Kam Liu,11,4,2,,3,,20,,,,,,,,,,,
Yip-Wah Chung,6,5,7,,2,,20,,,,,,,,,,,
Yonggang Huang,6,5,7,,2,,20,,,,,,,,,,,
总计,652,511,364,145,302,18,1992,,,,,,,,,,,
